West Humber-Clairville,1,1540,1720,1790,2325,3120,2785,2345,2035,1980,2225,2475,2195,1795,1595,1185,885,700,615,160,50
Mount Olive-Silverstone-Jamestown,2,2190,2500,2415,2585,2655,2400,2250,2185,2275,2315,2190,1955,1520,1285,885,630,465,300,70,10
Thistletown-Beaumond Heights,3,540,600,595,650,760,680,715,665,610,720,770,660,535,490,375,335,320,350,100,20
Rexdale-Kipling,4,560,515,565,635,720,715,680,640,680,770,815,870,650,520,350,295,270,300,85,15
Elms-Old Rexdale,5,540,605,660,690,750,600,575,550,540,680,755,730,525,415,305,235,180,145,40,5
Kingsview Village-The Westway,6,1425,1485,1325,1500,1520,1415,1430,1365,1365,1445,1615,1330,1220,1015,750,660,595,575,170,20
Willowridge-Martingrove-Richview,7,1175,1230,1155,1275,1350,1235,1235,1295,1295,1490,1590,1600,1305,1245,945,920,910,885,240,30
Humber Heights-Westmount,8,440,490,515,525,615,520,595,560,605,690,820,790,720,580,485,495,530,950,375,70
Edenbridge-Humber Valley,9,565,705,845,885,920,895,905,810,940,1125,1265,1230,1155,910,635,550,520,665,200,55
Princess-Rosethorn,10,450,585,730,780,800,440,395,500,660,825,1005,1045,810,630,435,335,315,325,115,10
Eringate-Centennial-West Deane,11,780,925,915,1170,1235,965,955,1000,1000,1375,1615,1570,1285,1055,765,735,665,565,150,25
Markland Wood,12,350,455,535,585,580,480,420,480,580,765,875,930,805,670,550,475,465,535,160,20
Etobicoke West Mall,13,570,580,545,675,785,985,860,710,705,840,925,885,715,540,355,335,325,505,160,50
Islington-City Centre West,14,2225,1930,1705,1920,2775,3985,4060,3530,2960,2975,3130,2920,2480,2050,1545,1240,1080,1480,450,115
Kingsway South,15,430,550,600,595,505,320,305,490,610,705,815,700,645,605,465,325,290,325,130,25
Stonegate-Queensway,16,1385,1465,1240,1230,1265,1310,1545,1810,1960,1940,2095,2005,1655,1295,805,740,575,750,285,60
Mimico,17,1475,1090,930,1025,1985,3520,3805,2955,2460,2300,2655,2495,2125,1785,1285,930,605,565,150,25
New Toronto,18,620,570,425,545,845,910,895,875,825,795,915,840,740,520,350,300,205,140,45,15
Long Branch,19,505,450,380,430,700,820,835,765,680,740,865,840,680,535,340,225,165,140,35,5
Alderwood,20,685,600,480,570,665,715,840,905,860,865,1035,1030,795,620,420,340,315,320,100,15
Humber Summit,21,695,725,730,815,905,835,745,755,775,805,940,700,615,580,540,535,450,260,40,5
Humbermede,22,995,1035,920,1045,1180,1115,1045,1080,970,1080,1155,990,770,680,440,455,320,260,70,10
Pelmo Park-Humberlea,23,555,610,580,675,695,685,755,720,715,855,915,805,585,420,315,360,270,205,50,5
Black Creek,24,1510,1585,1510,1585,1705,1575,1430,1295,1315,1435,1475,1360,1065,860,645,585,415,370,110,30
Glenfield-Jane Heights,25,1755,2010,2015,2235,2285,1865,1855,1775,1750,2125,2220,2050,1555,1375,1060,1035,850,700,170,30
Downsview-Roding-CFB,26,2010,1870,1865,2025,2315,2240,2455,2620,2345,2585,2800,2505,1875,1520,1105,1085,950,870,210,35
York University Heights,27,1435,1350,1260,1750,3000,2825,2215,1840,1655,1730,2025,1740,1225,1040,775,725,585,400,95,10
Rustic,28,620,660,655,730,675,585,560,540,570,655,705,625,490,390,370,375,365,365,105,25
Maple Leaf,29,485,520,485,605,660,630,595,670,645,765,805,710,495,420,385,440,395,380,115,10
Brookhaven-Amesbury,30,1060,1210,1100,1175,1285,1250,1295,1245,1155,1255,1425,1245,940,660,450,395,330,285,65,10
Yorkdale-Glen Park,31,595,640,720,910,960,990,915,915,880,1085,1075,980,830,725,590,610,600,775,255,65
Englemount-Lawrence,32,1595,1640,1565,1590,1440,1305,1385,1550,1440,1330,1375,1305,1125,955,665,595,550,955,365,115
Clanton Park,33,970,950,850,940,970,1155,1345,1370,1235,1160,1205,1065,870,780,490,390,320,400,130,30
Bathurst Manor,34,850,720,750,895,1045,930,1070,1210,1020,1195,1230,1170,860,795,495,490,455,710,250,75
Westminster-Branson,35,1265,1110,1070,1510,1845,1665,1830,1800,1770,1855,1945,1865,1635,1465,920,1020,715,1000,315,75
Newtonbrook West,36,980,865,960,1375,1950,1845,1700,1655,1575,1755,1880,1720,1390,1190,865,740,680,685,225,55
Willowdale West,37,695,600,500,815,1415,1610,1540,1155,1045,1020,1110,1050,1020,925,665,600,525,655,205,40
Lansing-Westgate,38,815,875,720,855,1250,1310,1355,1345,1225,1155,1200,1045,865,690,475,370,265,360,115,15
Bedford Park-Nortown,39,1275,1575,1705,1725,1485,875,1095,1370,1495,1740,1835,1665,1410,1225,900,660,540,660,200,45
St.Andrew-Windfields,40,615,960,1080,1270,1270,1025,790,865,1115,1500,1505,1385,1240,1095,790,555,375,410,110,5
Bridle Path-Sunnybrook-York Mills,41,345,480,630,750,675,415,285,355,515,700,820,800,725,575,430,315,225,245,60,15
Banbury-Don Mills,42,1075,1260,1285,1370,1360,1400,1595,1625,1790,2175,2225,1935,1620,1670,1360,1235,1085,1640,520,125
Victoria Village,43,870,925,830,975,1055,1135,1130,1260,1115,1230,1300,1210,1060,905,705,700,520,570,190,40
Flemingdon Park,44,1490,1475,1420,1475,1585,1590,1605,1590,1475,1445,1480,1300,1035,975,730,585,400,285,70,10
Parkwoods-Donalda,45,1800,1980,2055,2295,2385,2335,2270,2360,2420,2575,2820,2410,1855,1530,1200,950,800,775,185,40
Pleasant View,46,580,740,730,940,1140,1055,965,865,1045,1245,1295,1060,960,955,755,670,460,355,85,15
Don Valley Village,47,1380,1420,1275,1405,1875,2010,1865,2000,2035,1990,1960,1695,1450,1395,1035,920,695,665,170,55
Hillcrest Village,48,585,765,760,980,1190,1005,725,760,1030,1305,1235,1135,1130,1200,960,885,620,630,185,35
Bayview Woods-Steeles,49,390,535,600,750,885,810,565,545,695,920,955,975,850,920,725,715,585,740,240,65
Newtonbrook East,50,540,510,540,825,1360,1520,1205,905,910,1095,1225,1145,1010,920,650,590,495,670,190,50
Willowdale East,51,2290,1930,1710,2680,4260,5785,5335,4185,3525,3585,3435,2985,2475,2080,1445,1130,780,830,230,40
Bayview Village,52,855,800,765,950,1555,2220,2220,1665,1445,1390,1370,1330,1210,1060,780,620,555,610,195,30
Henry Farm,53,940,880,690,795,1535,2025,1790,1385,1040,890,915,755,635,520,345,275,185,135,20,0
O'Connor-Parkview,54,1030,1030,1060,1110,1275,1175,1120,1340,1230,1480,1510,1480,1170,865,595,435,360,430,135,30
Thorncliffe Park,55,1995,2065,1535,1245,1210,1505,1760,1640,1590,1420,1105,935,730,660,485,435,355,425,130,55
Leaside-Bennington,56,810,1170,1295,1180,995,590,605,940,1250,1550,1520,1330,1010,805,650,365,330,400,130,30
Broadview North,57,555,475,440,445,595,900,1040,970,950,930,890,755,680,620,425,310,235,255,70,10
Old East York,58,465,520,490,445,470,475,555,685,670,760,890,710,570,520,305,260,210,230,75,10
Danforth-East York,59,1205,1020,805,725,725,815,1295,1605,1515,1375,1325,1120,1015,850,590,475,375,365,95,25
Woodbine-Lumsden,60,460,370,335,300,375,470,650,730,635,625,680,615,535,395,235,215,130,125,35,5
Taylor-Massey,61,1115,1050,780,730,960,1275,1490,1340,1260,1120,1095,965,785,555,330,315,235,270,80,25
East End-Danforth,62,1410,1240,1090,1065,1145,1145,1630,1805,1815,1765,1830,1595,1210,1000,630,425,295,310,105,25
The Beaches,63,1245,1325,1250,1080,995,1085,1410,1665,1710,1890,1830,1635,1505,1190,790,425,290,265,70,5
Woodbine Corridor,64,905,820,600,535,500,720,1075,1160,1135,1045,1030,890,735,505,310,225,165,170,45,5
Greenwood-Coxwell,65,1055,845,550,585,720,1050,1295,1435,1275,1115,1070,945,820,550,365,295,225,200,60,5
Danforth,66,630,585,455,405,515,615,770,820,785,685,695,635,560,500,365,250,200,195,60,15
Playter Estates-Danforth,67,375,390,385,345,390,645,605,685,590,595,605,525,445,405,260,210,145,195,60,20
North Riverdale,68,685,700,580,565,605,680,870,965,920,960,1095,925,720,640,385,295,210,140,30,10
Blake-Jones,69,520,490,395,450,435,495,615,670,635,585,605,565,375,325,200,155,100,115,20,10
South Riverdale,70,1705,1325,925,1010,1435,2240,3080,2875,2495,2225,2110,1725,1395,1175,695,515,430,520,130,50
Cabbagetown-South St.James Town,71,315,260,220,295,740,1050,1005,930,820,920,1130,945,770,790,550,370,260,305,85,25
Regent Park,72,530,520,590,740,1035,1205,1125,880,745,795,825,635,465,320,190,105,65,50,10,10
Moss Park,73,665,490,385,520,1540,2790,2860,2100,1600,1565,1615,1350,1145,820,465,310,160,140,50,15
North St.James Town,74,945,725,615,740,1525,2280,2230,1810,1315,1330,1385,1135,835,685,400,255,180,220,60,20
Church-Yonge Corridor,75,675,325,270,1040,4020,5540,4485,2750,1980,1890,2135,1800,1435,1120,750,530,365,250,65,5
Bay Street Corridor,76,985,470,240,1385,5475,4545,3330,1840,1090,1055,1205,960,800,740,595,455,320,330,90,10
Waterfront Communities-The Island,77,2135,925,605,1140,6700,15755,12400,6815,4135,3200,2800,2560,2120,1760,1225,740,530,365,90,20
Kensington-Chinatown,78,520,440,355,740,2610,2710,1905,1210,970,950,1015,985,810,705,490,515,510,480,140,25
University,79,215,175,160,330,1155,1135,780,555,375,365,380,320,330,305,260,220,220,305,100,40
Palmerston-Little Italy,80,455,435,390,390,1075,2360,1850,1125,885,865,760,645,615,545,445,375,290,290,75,20
Trinity-Bellwoods,81,695,575,485,470,1160,2325,2075,1440,1215,1115,1040,885,740,660,495,470,405,330,85,15
Niagara,82,1190,510,340,385,2030,6865,6780,4125,2450,1685,1415,1065,820,635,380,240,135,95,20,5
Dufferin Grove,83,490,425,370,370,695,1525,1645,1215,880,765,650,690,545,475,355,295,215,175,50,5
Little Portugal,84,565,450,390,415,1190,2720,2365,1610,1075,860,755,710,615,520,430,380,265,255,85,15
South Parkdale,85,845,675,620,725,1550,2965,2885,2015,1650,1490,1435,1380,1095,895,540,425,310,360,95,40
Roncesvalles,86,785,815,705,585,720,1380,1560,1400,1265,1270,1115,900,790,610,380,295,205,185,55,10
High Park-Swansea,87,1160,1255,1135,1010,1115,2035,2270,1995,1785,1755,1730,1540,1330,1170,830,580,470,755,295,55
High Park North,88,1085,970,795,785,1105,2325,2585,2005,1740,1550,1455,1355,1230,1050,720,495,390,550,190,65
Runnymede-Bloor West Village,89,745,710,595,480,480,465,695,870,910,845,820,680,535,455,270,175,150,195,65,15
Junction Area,90,910,735,565,645,820,1195,1520,1365,1175,1060,1155,945,805,615,320,230,175,175,40,10
Weston-Pellam Park,91,560,560,560,630,785,850,1015,940,830,755,885,815,600,470,310,215,180,150,45,5
Corso Italia-Davenport,92,710,625,580,640,905,1340,1310,1225,990,995,1070,975,765,595,425,405,295,300,70,20
Dovercourt-Wallace Emerson-Juncti,93,1740,1480,1260,1405,2520,4395,4345,3380,2695,2440,2535,2200,1735,1375,1045,890,640,595,170,30
Wychwood,94,630,655,575,515,805,1280,1230,1050,930,1010,920,785,810,710,570,495,495,880,275,100
Annex,95,925,760,675,1015,2735,4350,3295,2090,1750,1690,1865,1780,1700,1725,1335,1030,750,1040,340,110
Casa Loma,96,355,400,445,445,635,970,900,655,595,695,740,700,765,830,665,470,305,395,100,35
Yonge-St.Clair,97,450,410,340,310,610,1375,1310,850,785,840,800,740,800,810,735,500,405,470,135,50
Rosedale-Moore Park,98,735,870,995,1025,1160,1330,1255,1115,1195,1410,1620,1520,1510,1505,1280,925,705,750,220,65
Mount Pleasant East,99,1020,1035,930,880,825,1040,1170,1370,1360,1360,1320,1060,960,840,630,415,310,260,75,25
Yonge-Eglinton,100,590,625,585,500,725,1240,1180,965,840,835,800,645,680,600,440,210,175,165,55,0
Forest Hill South,101,360,445,560,640,715,805,730,580,630,720,770,755,775,750,525,385,275,325,80,25
Forest Hill North,102,625,715,720,715,785,810,875,900,930,955,920,925,800,745,480,325,225,350,120,40
Lawrence Park South,103,675,990,1175,1100,995,780,720,835,1055,1210,1270,1130,985,755,560,335,275,315,100,20
Mount Pleasant West,104,1070,725,595,815,1705,3985,4390,2895,2165,1840,1825,1610,1420,1295,1000,775,590,940,325,100
Lawrence Park North,105,950,1235,1105,940,730,545,630,1020,1250,1390,1145,980,745,675,460,315,230,265,80,20
Humewood-Cedarvale,106,720,750,690,650,960,1440,1405,1130,1070,1015,945,850,800,680,445,330,210,280,90,30
Oakwood Village,107,1165,1020,935,1030,1245,1470,1705,1645,1615,1585,1515,1395,1195,1025,830,730,560,540,145,40
Briar Hill-Belgravia,108,690,565,600,745,910,1085,1140,1125,1025,1165,1200,1085,840,725,420,375,270,310,85,20
Caledonia-Fairbank,109,505,500,490,545,675,730,835,750,670,770,815,765,585,420,320,240,175,165,45,10
Keelesdale-Eglinton West,110,525,560,525,665,765,750,795,770,755,785,935,815,620,555,390,310,300,230,55,10
Rockcliffe-Smythe,111,1180,1170,1150,1300,1440,1450,1570,1560,1390,1545,1740,1675,1415,1135,865,660,500,480,150,25
Beechborough-Greenbrook,112,375,400,355,415,440,465,435,465,395,485,505,465,420,275,235,160,155,145,75,0
Weston,113,1140,1035,930,990,1235,1335,1355,1225,1165,1265,1440,1315,1115,825,480,430,295,395,125,35
Lambton Baby Point,114,545,620,535,510,395,380,465,600,595,655,615,565,485,365,240,165,115,140,55,5
Mount Dennis,115,805,810,780,870,945,1015,1005,960,875,960,1115,990,770,530,410,295,195,265,75,30
Steeles,116,1045,1125,980,1225,1460,1770,1455,1165,1430,1770,1910,1780,1735,1720,1180,1010,860,955,275,70
L'Amoreaux,117,2035,2045,2050,2625,3105,3040,2595,2190,2540,3150,3695,3120,2810,2575,1855,1770,1440,1345,370,70
Tam O'Shanter-Sullivan,118,1305,1335,1225,1495,1730,1850,1645,1585,1625,1845,2125,1875,1635,1430,1215,1200,1090,1220,385,90
Wexford/Maryvale,119,1335,1450,1420,1670,1980,1840,1735,1695,1790,1950,2370,2185,1755,1310,955,850,700,905,260,60
Clairlea-Birchmount,120,1580,1490,1485,1710,1785,1805,1925,1965,1860,2105,2280,1890,1470,1150,740,565,520,660,225,45
Oakridge,121,980,970,930,880,800,845,1075,1090,1020,1030,990,920,675,510,395,290,205,255,110,20
Birchcliffe-Cliffside,122,1075,1150,1105,1145,1295,1085,1225,1380,1600,1730,2055,1900,1620,1330,870,595,490,630,195,50
Cliffcrest,123,730,895,950,1100,1045,810,815,765,1045,1235,1400,1365,1080,935,570,410,405,370,110,20
Kennedy Park,124,915,930,930,1065,1110,1115,1070,1070,1090,1275,1500,1370,1140,815,555,480,375,330,95,15
Ionview,125,845,785,690,755,890,1045,1095,1000,915,910,1085,930,790,605,440,355,255,245,60,15
Dorset Park,126,1365,1470,1415,1480,1675,1590,1660,1680,1715,1720,2120,1845,1485,1085,735,590,570,790,265,75
Bendale,127,1530,1495,1530,1845,2760,2295,2125,1750,1795,1985,2100,1935,1600,1450,1070,975,855,900,240,65
Agincourt South-Malvern West,128,1115,1035,935,1470,1890,2020,1645,1340,1360,1650,1950,1755,1510,1320,875,760,595,555,155,35
Agincourt North,129,1280,1300,1240,1705,2000,2020,1775,1465,1665,1940,2440,2230,2000,1905,1290,1065,865,925,270,90
Milliken,130,1385,1260,1030,1380,1815,2155,1790,1415,1480,1665,2060,2040,1990,1670,1010,835,750,880,245,90
Rouge,131,2370,2810,2775,3265,3435,3180,2910,2775,2830,3135,3680,3555,3135,2590,1670,1005,680,685,205,65
Malvern,132,2405,2680,2815,3170,3450,3210,2970,2635,2825,2950,3275,2980,2555,2255,1535,1045,590,445,110,30
Centennial Scarborough,133,655,720,780,940,910,715,650,755,815,960,1135,1050,905,840,665,475,240,160,35,10
Highland Creek,134,450,485,610,815,1110,935,695,625,565,785,1015,1020,1000,910,650,400,240,190,55,15
Morningside,135,925,1020,930,1165,1525,1320,1075,1065,920,1125,1335,1295,1060,845,610,510,370,355,90,25
West Hill,136,1425,1590,1630,1965,1985,1760,1605,1520,1630,1985,2265,2080,1705,1350,975,775,520,625,210,60
Woburn,137,3140,3365,3125,3400,4260,4060,3740,3485,3365,3545,3750,3490,2755,2220,1810,1550,1330,1130,305,60
Eglinton East,138,1315,1480,1395,1585,1545,1450,1425,1480,1445,1610,1770,1535,1290,1015,815,625,480,560,170,45
Scarborough Village,139,1055,1200,1100,1140,1220,1055,1025,1070,1125,1150,1260,1130,965,675,455,365,300,430,135,25
Guildwood,140,410,425,455,540,525,415,435,455,620,675,770,800,755,590,510,510,490,540,165,30
