West Humber-Clairville,1,6260,470,13920,1615,1300,490,240,300,60,60
Mount Olive-Silverstone-Jamestown,2,8390,285,11095,815,1085,590,2650,1415,70,10
Thistletown-Beaumond Heights,3,1645,110,2555,305,660,120,380,250,40,15
Rexdale-Kipling,4,1470,165,1420,515,850,170,110,215,10,35
Elms-Old Rexdale,5,2930,105,840,465,765,370,40,285,105,15
Kingsview Village-The Westway,6,5340,410,3630,685,980,270,275,535,210,35
Willowridge-Martingrove-Richview,7,2960,515,2340,645,935,110,135,150,410,90
Humber Heights-Westmount,8,1150,100,325,170,485,25,50,60,135,0
Edenbridge-Humber Valley,9,795,370,390,200,675,55,100,55,270,100
Princess-Rosethorn,10,160,500,590,90,165,75,20,85,220,55
Eringate-Centennial-West Deane,11,975,790,1275,445,400,110,145,125,390,100
Markland Wood,12,180,260,230,100,135,50,45,50,245,40
Etobicoke West Mall,13,790,335,1165,635,445,155,170,290,295,30
Islington-City Centre West,14,3055,1875,3525,1675,1330,490,680,530,1620,195
Kingsway South,15,80,300,205,110,55,25,20,40,135,45
Stonegate-Queensway,16,585,565,925,510,400,275,110,175,230,150
Mimico,17,1730,1635,1865,1145,985,405,340,335,515,200
New Toronto,18,1250,340,590,405,290,105,95,30,50,65
Long Branch,19,470,200,330,410,255,125,55,105,15,20
Alderwood,20,300,275,540,615,180,55,90,20,65,35
Humber Summit,21,1835,135,3590,345,895,440,205,255,45,0
Humbermede,22,3440,375,3275,880,1830,1085,155,145,65,35
Pelmo Park-Humberlea,23,1200,230,750,485,820,705,55,45,30,20
Black Creek,24,6315,765,2110,920,1780,2595,705,620,40,30
Glenfield-Jane Heights,25,7360,1170,2150,1515,3680,3985,345,425,10,10
Downsview-Roding-CFB,26,5455,780,1380,4535,3605,2065,255,510,130,50
York University Heights,27,5205,1500,4180,2645,1765,1375,280,605,390,30
Rustic,28,3455,135,420,355,735,260,45,30,0,0
Maple Leaf,29,790,140,985,1200,645,270,35,10,45,20
Brookhaven-Amesbury,30,4770,450,1190,1250,1880,1095,50,130,50,10
Yorkdale-Glen Park,31,1460,850,865,1110,710,535,50,50,55,40
Englemount-Lawrence,32,2305,390,365,3950,550,215,90,180,175,25
Clanton Park,33,560,500,400,3315,255,210,155,165,175,50
Bathurst Manor,34,550,655,550,1950,575,150,155,270,305,35
Westminster-Branson,35,1050,775,720,5990,450,120,270,850,925,105
Newtonbrook West,36,485,2650,1025,4355,360,185,105,1875,2210,100
Willowdale West,37,220,3655,860,265,190,170,190,1730,1930,145
Lansing-Westgate,38,405,1740,1005,1045,240,90,185,975,875,70
Bedford Park-Nortown,39,315,1030,455,1790,345,75,90,305,195,65
St.Andrew-Windfields,40,660,3845,1075,395,305,70,185,1120,820,145
Bridle Path-Sunnybrook-York Mills,41,115,1410,375,50,65,45,40,325,185,55
Banbury-Don Mills,42,970,4630,2825,1135,350,110,550,755,560,210
Victoria Village,43,2075,730,2985,1240,430,95,1070,720,160,75
Flemingdon Park,44,2130,1015,7650,2270,390,230,370,2190,250,45
Parkwoods-Donalda,45,3910,2875,3610,2435,1025,195,1515,1600,580,225
Pleasant View,46,745,5630,1310,610,145,125,405,480,250,110
Don Valley Village,47,1285,6960,2890,2170,550,190,885,2450,835,135
Hillcrest Village,48,620,8225,1525,305,220,90,180,650,650,60
Bayview Woods-Steeles,49,530,4360,670,175,150,135,130,1015,710,70
Newtonbrook East,50,205,4830,745,465,165,110,150,2320,1920,70
Willowdale East,51,1135,16980,3375,845,825,385,1320,5985,5255,665
Bayview Village,52,755,5860,1360,765,410,200,355,2440,1655,180
Henry Farm,53,810,3080,3365,1200,365,115,805,1255,445,50
O'Connor-Parkview,54,1865,635,1730,1120,340,100,155,435,100,145
Thorncliffe Park,55,1115,435,9845,1505,305,95,685,1795,130,20
Leaside-Bennington,56,280,1025,450,225,140,85,75,160,200,75
Broadview North,57,565,470,630,500,250,85,125,140,70,70
Old East York,58,265,745,295,430,110,190,30,100,55,65
Danforth-East York,59,700,1530,1030,440,300,140,95,155,140,260
Woodbine-Lumsden,60,475,730,345,290,155,55,45,30,65,70
Taylor-Massey,61,1535,675,5975,670,215,175,115,260,160,55
East End-Danforth,62,1285,1325,1700,685,275,95,145,155,190,165
The Beaches,63,345,615,645,230,215,160,90,55,115,110
Woodbine Corridor,64,775,1025,610,235,140,75,40,30,50,100
Greenwood-Coxwell,65,940,2090,1070,300,205,190,80,85,85,125
Danforth,66,340,820,705,90,85,65,25,30,65,90
Playter Estates-Danforth,67,190,505,240,90,125,60,40,25,40,130
North Riverdale,68,330,1230,405,135,130,105,10,30,25,140
Blake-Jones,69,950,950,445,55,80,90,45,145,15,35
South Riverdale,70,1380,5800,1170,565,310,650,160,130,165,175
Cabbagetown-South St.James Town,71,510,720,525,485,260,125,110,50,95,35
Regent Park,72,1465,1350,2770,305,285,390,250,175,75,30
Moss Park,73,2590,1435,1315,425,395,340,260,280,175,105
North St.James Town,74,2115,890,3770,2800,615,270,395,380,325,85
Church-Yonge Corridor,75,1465,3835,2510,755,695,320,625,500,665,235
Bay Street Corridor,76,775,7435,2420,380,460,340,1310,615,1340,335
Waterfront Communities-The Island,77,3650,9020,6735,1380,1405,675,1440,1300,1055,555
Kensington-Chinatown,78,880,6075,760,445,315,585,300,195,330,220
University,79,180,835,395,140,120,80,40,40,165,105
Palmerston-Little Italy,80,330,1135,395,95,240,85,55,75,200,125
Trinity-Bellwoods,81,320,3225,280,140,190,165,65,50,65,80
Niagara,82,1635,2260,2210,780,1005,365,490,365,475,180
Dufferin Grove,83,595,845,665,170,490,235,90,45,120,60
Little Portugal,84,640,1435,445,190,455,325,55,85,180,120
South Parkdale,85,2105,680,1830,1505,515,680,165,145,100,60
Roncesvalles,86,770,560,835,300,290,315,60,30,70,95
High Park-Swansea,87,855,740,800,325,475,240,150,85,270,150
High Park North,88,755,830,950,380,690,185,225,220,380,175
Runnymede-Bloor West Village,89,215,365,245,145,120,50,20,25,115,135
Junction Area,90,550,885,525,615,490,395,30,35,70,115
Weston-Pellam Park,91,1255,285,410,315,780,495,80,30,10,30
Corso Italia-Davenport,92,655,445,325,370,1135,95,45,80,65,60
Dovercourt-Wallace Emerson-Juncti,93,2110,2825,2105,610,1510,1000,180,210,435,245
Wychwood,94,865,805,255,440,445,165,95,55,135,60
Annex,95,935,2145,1125,350,405,190,300,340,605,255
Casa Loma,96,280,420,360,85,225,55,65,65,110,80
Yonge-St.Clair,97,235,575,560,230,160,50,125,190,135,115
Rosedale-Moore Park,98,395,1150,605,210,270,45,155,235,300,135
Mount Pleasant East,99,470,990,680,405,285,50,60,245,240,145
Yonge-Eglinton,100,295,980,445,290,220,75,105,215,250,115
Forest Hill South,101,205,460,245,335,140,75,40,90,45,35
Forest Hill North,102,500,265,170,1595,420,20,65,165,115,55
Lawrence Park South,103,240,865,315,295,110,45,30,245,125,60
Mount Pleasant West,104,1185,1515,1895,1055,950,115,410,1125,745,240
Lawrence Park North,105,220,1195,355,260,100,115,20,185,300,135
Humewood-Cedarvale,106,710,295,320,1435,530,80,115,55,150,120
Oakwood Village,107,2720,880,625,1910,1325,385,110,145,120,125
Briar Hill-Belgravia,108,1170,260,410,3035,920,170,45,40,130,70
Caledonia-Fairbank,109,860,235,230,890,825,160,0,10,30,10
Keelesdale-Eglinton West,110,1195,160,915,760,910,335,25,75,20,40
Rockcliffe-Smythe,111,3400,465,990,785,2200,1285,145,85,55,90
Beechborough-Greenbrook,112,2070,110,330,395,335,215,70,10,15,0
Weston,113,6045,335,765,590,1390,550,120,145,75,65
Lambton Baby Point,114,835,175,270,170,150,35,40,55,50,10
Mount Dennis,115,4360,310,510,860,1380,655,75,95,155,45
Steeles,116,595,17755,1560,595,30,170,515,110,120,60
L'Amoreaux,117,3625,16165,7240,2495,415,280,990,790,195,145
Tam O'Shanter-Sullivan,118,1860,8665,4690,2145,360,165,570,425,255,175
Wexford/Maryvale,119,2055,1910,4195,3405,600,215,1185,535,190,70
Clairlea-Birchmount,120,2670,2120,6140,3140,375,250,160,185,110,180
Oakridge,121,2500,705,4800,675,145,125,125,600,30,25
Birchcliffe-Cliffside,122,890,1190,1405,830,225,265,105,95,30,195
Cliffcrest,123,990,765,3000,775,135,60,80,165,55,90
Kennedy Park,124,2130,1035,4165,2590,250,240,165,175,50,75
Ionview,125,1705,600,3730,2400,225,135,235,175,35,10
Dorset Park,126,2205,2745,7245,3430,270,265,810,795,25,65
Bendale,127,1910,4400,8305,2885,530,310,335,815,205,155
Agincourt South-Malvern West,128,1545,11110,4190,1280,230,155,300,375,140,40
Agincourt North,129,1340,16460,5315,1420,170,260,275,125,70,60
Milliken,130,1070,18715,3080,1015,35,240,165,130,0,35
Rouge,131,6525,2100,20175,4095,495,295,395,535,65,105
Malvern,132,8295,3275,17465,4830,770,200,365,650,75,30
Centennial Scarborough,133,945,710,2475,785,115,55,175,100,40,85
Highland Creek,134,1550,955,4515,805,205,85,85,100,130,35
Morningside,135,3065,880,5155,1865,345,210,135,270,65,65
West Hill,136,5835,685,5060,2330,555,215,115,510,80,55
Woburn,137,5835,3715,21545,4090,745,315,610,1320,210,100
Eglinton East,138,4130,895,6490,2970,400,195,240,555,40,65
Scarborough Village,139,3330,390,5520,950,280,70,140,570,20,20
Guildwood,140,625,275,815,490,120,70,30,45,45,100
